iter	MultiClass
0	0.6925527261
1	0.6921583004
2	0.6914630755
3	0.6911485616
4	0.690495706
5	0.6899721803
6	0.6894622158
7	0.6889669619
8	0.6884324799
9	0.6878711053
10	0.6874039698
11	0.6868807506
12	0.6863494865
13	0.6858233559
14	0.6853337716
15	0.6848180608
16	0.6842880227
17	0.6837829617
18	0.6832815784
19	0.6827714607
20	0.6822532982
21	0.6817509188
22	0.6812463942
23	0.6807412566
24	0.6802309857
25	0.6797341228
26	0.6792313604
27	0.6787291342
28	0.6782269848
29	0.6777296621
30	0.6772329525
31	0.6767338677
32	0.6762360853
33	0.675741904
34	0.6752487954
35	0.6747543842
36	0.6742614288
37	0.6737673241
38	0.6732811876
39	0.6727887685
40	0.6723018659
41	0.6718141204
42	0.6713298227
43	0.6708418474
44	0.6703582393
45	0.6698714133
46	0.6693924788
47	0.6689078746
48	0.6684270247
49	0.6679457918
50	0.6674670871
51	0.6669879228
52	0.6665103675
53	0.666034038
54	0.6655572488
55	0.6650846736
56	0.6646084973
57	0.6641368415
58	0.6636633468
59	0.6631933
60	0.6627229466
61	0.6622515973
62	0.6617839255
63	0.6613162538
64	0.6608508806
65	0.6603852009
66	0.6599194446
67	0.6594549908
68	0.6589945977
69	0.6585319061
70	0.6580707468
71	0.6576080552
72	0.6571495776
73	0.6566899507
74	0.6562340014
75	0.6557743744
76	0.6553210301
77	0.6548656172
78	0.6544092848
79	0.6539541783
80	0.6535040519
81	0.6530504011
82	0.652600428
83	0.6521470837
84	0.6517019374
85	0.6512509683
86	0.6508073543
87	0.6503539334
88	0.6499130777
89	0.6494625683
90	0.6490243176
91	0.6485771792
92	0.6481352509
93	0.647695238
94	0.6472511644
95	0.6468148291
96	0.6463715217
97	0.6459355695
98	0.6454952501
99	0.6450595278
100	0.6446243418
101	0.6441882363
102	0.6437542762
103	0.6433184772
104	0.6428889609
105	0.6424553839
106	0.6420265571
107	0.6415937079
108	0.6411645746
109	0.6407337558
110	0.6403064231
111	0.6398765236
112	0.6394534048
113	0.6390250378
114	0.6386007697
115	0.6381777658
116	0.637753651
117	0.6373316432
118	0.6369068005
119	0.6364903474
120	0.6360661942
121	0.6356498561
122	0.6352303
123	0.6348096712
124	0.6343962062
125	0.6339787954
126	0.6335626871
127	0.6331475748
128	0.6327325008
129	0.632320185
130	0.631904613
131	0.6314943276
132	0.6310856895
133	0.6306724926
134	0.6302655401
135	0.6298554845
136	0.6294473827
137	0.6290418476
138	0.6286325199
139	0.6282268698
140	0.6278214496
141	0.6274175617
142	0.6270135973
143	0.6266085601
144	0.6262083882
145	0.6258064541
146	0.6254047498
147	0.6250055739
148	0.6246035249
149	0.6242082564
150	0.6238081228
151	0.6234153061
152	0.6230139083
153	0.6226177588
154	0.6222265511
155	0.6218304782
156	0.6214400367
157	0.6210436956
158	0.6206522197
159	0.6202605523
160	0.6198691147
161	0.6194802439
162	0.619088768
163	0.6187015061
164	0.6183138611
165	0.6179263693
166	0.6175399885
167	0.6171547186
168	0.616769602
169	0.6163835276
170	0.6160002498
171	0.6156186192
172	0.6152354563
173	0.6148522168
174	0.6144717738
175	0.614091101
176	0.6137105431
177	0.61333282
178	0.6129537944
